Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
8577506,Will the Last Reporter Please Turn out the Lights: The Collapse of Journalism and What Can Be Done To Fix It,Robert W. McChesney,"McChesney, Robert W.",Victor Pickard,"=""1595585486""","=""9781595585486""",0,3.58,The New Press,Paperback,372,2011,2011,,2016/07/10,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
27161964,Gratitude,Oliver Sacks,"Sacks, Oliver",,"=""0345811364""","=""9780345811363""",4,4.15,Knopf Canada,Hardcover,64,2015,2015,2016/07/10,2016/07/10,,,read,,,,1,,,0,,,,,
15815364,How to Get Filthy Rich in Rising Asia,Mohsin Hamid,"Hamid, Mohsin",,"=""1594487294""","=""9781594487293""",0,3.79,Riverhead Books,Hardcover,230,2013,2013,,2016/07/08,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
179744,"The Emperor's New Mind: Concerning Computers, Minds and the Laws of Physics",Roger Penrose,"Penrose, Roger",Martin Gardner,"=""0192861980""","=""9780192861986""",2,3.86,"Oxford University Press, USA",Paperback,640,2002,1989,2016/06/30,2012/02/09,,,read,,,,1,,,1,,,unspecified,,
160171,Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,"Torvalds, Linus",David Diamond,"=""0066620732""","=""9780066620732""",0,3.92,HarperBusiness,Paperback,288,2002,2001,,2016/06/14,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
267302,"The Precipice (The Grand Tour, #8; The Asteroid Wars, #1)",Ben Bova,"Bova, Ben",,"=""0812579895""","=""9780812579895""",4,3.74,Tor Science Fiction,Paperback,432,2002,2001,2016/06/14,2016/01/28,,,read,,,,1,,,0,,,,,
815995,Eat the Rich: A Treatise on Economics,P.J. O'Rourke,"O'Rourke, P.J.",,"=""0871137607""","=""9780871137609""",0,3.84,Atlantic Monthly Press,Paperback,246,1999,1998,,2016/06/12,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
64216,"Guards! Guards! (Discworld, #8; City Watch #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020648""","=""9780061020643""",3,4.33,HarperTorch,Mass Market Paperback,376,2001,1989,2016/06/10,2015/08/03,,,read,,,,1,,,0,,,,,
279308,I Thought It Was Just Me: Women Reclaiming Power and Courage in a Culture of Shame,Brené Brown,"Brown, Brené",,"=""1592402631""","=""9781592402632""",2,4.23,Gotham Books,Hardcover,305,2007,2007,2016/06/01,2016/06/06,,,read,,,,1,,,0,,,,,
400354,"Men at Arms (Discworld, #15; City Watch #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061092193""","=""9780061092190""",4,4.38,HarperPrism,Mass Market Paperback,377,2003,1993,2011/01/01,2011/12/29,,,read,,,,1,,,0,,,,,
